lead_id,date,channel,device,cost,impressions,clicks,conversions,company_size,sector,region,status
163,2025-09-15,Instagram Ads,Mobile,3510.33,124309,4770,395,10-50,Tech,IdF,MQL
164,2025-09-18,Facebook Ads,Mobile,6142.42,175758,4881,424,1-10,Retail,BFC,Lead
165,2025-09-04,Emailing,Desktop,2177.3,65301,2178,175,1-10,Tech,CVL,SQL
166,2025-09-30,Facebook Ads,Mobile,5042.46,155635,4399,353,50-100,Health,Hauts-de-France,Lead
167,2025-09-13,Emailing,Mobile,2845.0299999999997,91362,3013,252,50-100,Tech,HDF,Lead
168,2025-09-03,Instagram Ads,Mobile,3652.15,130513,5036,396,50-100,Tech,NOR,MQL
169,2025-09-18,Emailing,Tablet,2479.5099999999998,89774,3044,271,10-50,Tech,OCC,MQL
170,2025-09-10,Instagram Ads,Mobile,3685.55,145191,6033,497,100-500,Tech,IdF,SQL
171,2025-09-27,LinkedIn,Desktop,6614.93,62760,1529,99,100-500,Retail,Hauts-de-France,Lead
172,2025-09-21,Emailing,Desktop,2801.35,91605,3016,248,50-100,Health,NOR,SQL
173,2025-09-20,Emailing,Mobile,2292.52,80818,2572,226,10-50,Logistics,IdF,Client
174,2025-09-29,Instagram Ads,Mobile,3704.71,136791,5539,464,1-10,Media,IdF,MQL
175,2025-09-28,LinkedIn,Tablet,5903.52,60798,1575,110,100-500,Media,NOR,SQL
176,2025-09-12,LinkedIn,Mobile,5440.85,54337,1371,96,1-10,Tech,Hauts-de-France,MQL
177,2025-09-19,LinkedIn,Desktop,6296.28,66934,1661,123,1-10,Retail,PAC,Lead
178,2025-09-07,Emailing,Mobile,2949.19,102515,3463,294,10-50,Tech,PAC,MQL
179,2025-09-23,Facebook Ads,Mobile,5198.26,145801,4039,332,1-10,Education,HDF,Lead
180,2025-09-03,Emailing,Mobile,2290.03,77558,2533,205,100-500,Tech,Hauts-de-France,Client
181,2025-09-02,Instagram Ads,Mobile,3812.57,132624,5213,414,10-50,Finance,NOR,Lead
182,2025-09-22,LinkedIn,Mobile,6171.0,61171,1496,111,10-50,Retail,BFC,SQL
183,2025-09-08,Facebook Ads,Desktop,5498.59,154202,4436,379,50-100,Retail,ARA,Lead
184,2025-09-25,Emailing,Mobile,2624.14,81583,2561,220,10-50,Logistics,Hauts-de-France,SQL
185,2025-09-10,Facebook Ads,Mobile,6549.1,171421,4998,402,1-10,Education,IdF,Lead
186,2025-09-03,Facebook Ads,Mobile,4691.4,137291,3957,301,10-50,Media,BFC,SQL
187,2025-09-28,LinkedIn,Desktop,5903.52,60798,1575,110,50-100,Health,PAC,Lead
188,2025-09-08,LinkedIn,Mobile,5171.15,53529,1350,97,10-50,Media,OCC,Client
189,2025-09-28,Instagram Ads,Desktop,4134.08,139525,5414,420,50-100,Health,ARA,SQL
190,2025-09-04,Facebook Ads,Mobile,4937.82,141564,3846,319,1-10,Logistics,ARA,SQL
191,2025-09-13,Emailing,Mobile,2845.0299999999997,91362,3013,252,1-10,Retail,PAC,Lead
192,2025-09-09,LinkedIn,Mobile,6807.41,73952,1809,120,1-10,Health,HDF,Lead
193,2025-09-15,LinkedIn,Desktop,5425.6,52821,1257,85,10-50,Health,PAC,Client
194,2025-09-21,LinkedIn,Mobile,4666.97,47645,1205,90,50-100,Retail,Hauts-de-France,Lead
195,2025-09-27,LinkedIn,Mobile,6614.93,62760,1529,99,50-100,Media,NOR,Lead
196,2025-09-12,Facebook Ads,Mobile,5458.32,148794,4155,345,10-50,Logistics,BFC,MQL
197,2025-09-06,Facebook Ads,Desktop,5898.94,168671,4842,376,10-50,Finance,BFC,Lead
198,2025-09-12,Facebook Ads,Mobile,5458.32,148794,4155,345,50-100,Retail,BFC,Lead
199,2025-09-12,Emailing,Mobile,2940.96,89780,3029,258,1-10,Finance,CVL,MQL
200,2025-09-07,Emailing,Mobile,2949.19,102515,3463,294,1-10,Media,Hauts-de-France,MQL
201,2025-09-22,Emailing,Mobile,2529.5,81767,2693,240,100-500,Health,IdF,Lead
202,2025-09-09,LinkedIn,Desktop,6807.41,73952,1809,120,10-50,Tech,HDF,MQL
203,2025-09-23,Facebook Ads,Desktop,5198.26,145801,4039,332,100-500,Finance,IdF,MQL
204,2025-09-30,Facebook Ads,Mobile,5042.46,155635,4399,353,1-10,Tech,CVL,SQL
205,2025-09-22,Instagram Ads,Mobile,3774.58,128946,5177,414,50-100,Education,IdF,Lead
206,2025-09-21,Emailing,Mobile,2801.35,91605,3016,248,1-10,Retail,PAC,SQL
207,2025-09-03,Facebook Ads,Mobile,4691.4,137291,3957,301,1-10,Finance,IdF,MQL
208,2025-09-20,LinkedIn,Mobile,4982.1900000000005,54974,1412,101,10-50,Education,ARA,MQL
209,2025-09-21,Emailing,Desktop,2801.35,91605,3016,248,1-10,Tech,BFC,Lead
210,2025-09-06,Emailing,Tablet,2819.64,89019,2993,262,1-10,Tech,IdF,Lead
211,2025-09-18,Emailing,Tablet,2479.5099999999998,89774,3044,271,1-10,Retail,PAC,SQL
212,2025-09-24,Emailing,Desktop,2777.7,92732,3036,273,1-10,Retail,OCC,MQL
213,2025-09-08,Instagram Ads,Desktop,3880.22,147747,5814,456,50-100,Retail,PAC,SQL
214,2025-09-06,Instagram Ads,Desktop,3159.0,114375,4518,381,10-50,Logistics,HDF,Client
215,2025-09-15,LinkedIn,Mobile,5425.6,52821,1257,85,1-10,Media,OCC,MQL
216,2025-09-13,Instagram Ads,Desktop,3626.02,127090,4877,379,1-10,Energy,IDF,MQL
217,2025-09-09,Instagram Ads,Mobile,4345.78,157172,6465,526,1-10,Energy,NOR,Lead
218,2025-09-30,Emailing,Mobile,2709.73,96206,3297,272,10-50,Retail,Hauts-de-France,Client
219,2025-09-21,Instagram Ads,Desktop,3377.27,126123,4874,382,1-10,Retail,IDF,SQL
220,2025-09-23,Facebook Ads,Mobile,5198.26,145801,4039,332,50-100,Retail,HDF,SQL
221,2025-09-18,Instagram Ads,Mobile,3722.3,139200,5678,439,1-10,Media,HDF,MQL
222,2025-09-08,Instagram Ads,Tablet,3880.22,147747,5814,456,1-10,Health,IdF,SQL
223,2025-09-22,Facebook Ads,Mobile,5253.29,158934,4559,390,100-500,Retail,OCC,SQL
224,2025-09-11,Emailing,Mobile,2675.57,84413,2889,249,50-100,Retail,HDF,Lead
225,2025-09-27,Emailing,Tablet,2412.97,82002,2855,252,1-10,Finance,CVL,MQL
226,2025-09-25,Facebook Ads,Desktop,5675.56,163585,4566,391,50-100,Finance,IdF,MQL
227,2025-09-25,Instagram Ads,Mobile,3352.69,111790,4495,363,10-50,Energy,IdF,Lead
228,2025-09-02,Instagram Ads,Mobile,3812.57,132624,5213,414,50-100,Retail,IDF,SQL
229,2025-09-08,Emailing,Mobile,2512.92,92180,3042,276,10-50,Energy,ARA,Lead
230,2025-09-27,Facebook Ads,Desktop,5184.65,152514,4234,317,50-100,Finance,PAC,MQL
231,2025-09-02,Facebook Ads,Desktop,5832.7,168108,4703,390,100-500,Education,HDF,MQL
232,2025-09-26,Emailing,Mobile,2556.08,85736,2858,237,1-10,Energy,IdF,MQL
233,2025-09-11,Emailing,Mobile,2675.57,84413,2889,249,10-50,Energy,PAC,MQL
234,2025-09-13,Facebook Ads,Mobile,5446.17,171971,4775,426,10-50,Tech,PAC,Client
235,2025-09-09,Instagram Ads,Tablet,4345.78,157172,6465,526,1-10,Tech,Hauts-de-France,MQL
236,2025-09-03,Facebook Ads,Mobile,4691.4,137291,3957,301,1-10,Finance,Hauts-de-France,Lead
237,2025-09-07,Facebook Ads,Desktop,3684.27,117690,3375,273,1-10,Finance,IdF,SQL
238,2025-09-30,LinkedIn,Mobile,5212.27,56209,1332,91,10-50,Health,IdF,Lead
239,2025-09-19,Facebook Ads,Desktop,4000.7,130129,3520,301,10-50,Logistics,BFC,Lead
240,2025-09-29,Instagram Ads,Tablet,3704.71,136791,5539,464,10-50,Tech,OCC,Lead
241,2025-09-23,Instagram Ads,Desktop,4255.1,160828,6184,480,1-10,Finance,ARA,Lead
242,2025-09-11,Emailing,Mobile,2675.57,84413,2889,249,10-50,Tech,Hauts-de-France,MQL
243,2025-09-07,Facebook Ads,Desktop,3684.27,117690,3375,273,100-500,Energy,IdF,MQL
244,2025-09-21,Facebook Ads,Desktop,6314.82,174960,4957,446,10-50,Logistics,HDF,Lead
245,2025-09-16,Emailing,Mobile,2303.7,83512,2718,239,10-50,Finance,IDF,SQL
246,2025-09-13,Emailing,Desktop,2845.0299999999997,91362,3013,252,50-100,Tech,Hauts-de-France,Lead
247,2025-09-29,LinkedIn,Desktop,8047.92,80341,1938,124,50-100,Education,Hauts-de-France,Client
248,2025-09-30,Facebook Ads,Desktop,5042.46,155635,4399,353,10-50,Health,BFC,MQL
249,2025-09-21,Emailing,Desktop,2801.35,91605,3016,248,100-500,Retail,HDF,Lead
250,2025-09-15,Emailing,Mobile,2407.55,87870,2860,230,10-50,Energy,PAC,Client
251,2025-09-05,Instagram Ads,Mobile,4731.53,166863,6757,548,100-500,Logistics,BFC,MQL
252,2025-09-09,Emailing,Mobile,2138.67,71309,2473,221,1-10,Finance,CVL,MQL
253,2025-09-05,Emailing,Tablet,2522.64,84670,2815,237,1-10,Health,IDF,Lead
254,2025-09-08,Facebook Ads,Desktop,5498.59,154202,4436,379,1-10,Retail,IdF,SQL
255,2025-09-24,Instagram Ads,Desktop,3281.01,114397,4390,351,50-100,Health,IDF,MQL
256,2025-09-18,Emailing,Mobile,2479.5099999999998,89774,3044,271,10-50,Finance,PAC,Lead
257,2025-09-18,LinkedIn,Mobile,5111.0,48459,1196,87,1-10,Retail,CVL,Lead
258,2025-09-09,LinkedIn,Desktop,6807.41,73952,1809,120,1-10,Tech,ARA,SQL
259,2025-09-24,Emailing,Mobile,2777.7,92732,3036,273,100-500,Retail,PAC,Lead
260,2025-09-19,LinkedIn,Mobile,6296.28,66934,1661,123,50-100,Tech,CVL,Lead
261,2025-09-14,Facebook Ads,Desktop,6017.18,166025,4922,435,10-50,Finance,PAC,MQL
262,2025-09-29,LinkedIn,Mobile,8047.92,80341,1938,124,10-50,Health,IdF,SQL
263,2025-09-19,LinkedIn,Mobile,6296.28,66934,1661,123,10-50,Health,PAC,Lead
264,2025-09-13,Facebook Ads,Mobile,5446.17,171971,4775,426,10-50,Retail,ARA,Lead
265,2025-09-12,Emailing,Mobile,2940.96,89780,3029,258,100-500,Finance,IdF,SQL
266,2025-09-08,Instagram Ads,Tablet,3880.22,147747,5814,456,1-10,Media,OCC,Lead
267,2025-09-05,Facebook Ads,Mobile,4311.2,125213,3648,306,10-50,Finance,IdF,SQL
268,2025-09-17,Emailing,Mobile,2929.4,94268,3174,245,1-10,Logistics,PAC,Client
269,2025-09-16,Emailing,Mobile,2303.7,83512,2718,239,10-50,Finance,IdF,SQL
270,2025-09-03,LinkedIn,Desktop,7147.05,73930,1844,132,10-50,Health,ARA,Lead
271,2025-09-25,LinkedIn,Mobile,6185.38,62374,1525,107,10-50,Tech,Hauts-de-France,MQL
272,2025-09-02,Emailing,Desktop,2401.82,89893,2983,258,1-10,Health,PAC,Lead
273,2025-09-28,Facebook Ads,Mobile,5176.24,134802,3717,296,10-50,Media,IdF,Client
274,2025-09-04,Emailing,Mobile,2177.3,65301,2178,175,1-10,Logistics,IdF,Client
275,2025-09-05,LinkedIn,Mobile,5544.2699999999995,51964,1289,87,1-10,Logistics,HDF,Lead
276,2025-09-21,Emailing,Desktop,2801.35,91605,3016,248,1-10,Retail,BFC,SQL
277,2025-09-06,LinkedIn,Desktop,5454.07,53164,1315,93,50-100,Health,Hauts-de-France,SQL
278,2025-09-26,Facebook Ads,Mobile,5251.55,163827,4769,378,10-50,Finance,IdF,Lead
279,2025-09-22,Instagram Ads,Mobile,3774.58,128946,5177,414,10-50,Health,NOR,Lead
280,2025-09-14,Emailing,Tablet,3045.63,103241,3613,316,50-100,Tech,IdF,Lead
281,2025-09-20,Facebook Ads,Mobile,6435.08,186202,5287,413,50-100,Media,OCC,MQL
282,2025-09-03,Emailing,Desktop,2290.03,77558,2533,205,10-50,Energy,PAC,Client
283,2025-09-13,Instagram Ads,Mobile,3626.02,127090,4877,379,10-50,Finance,Hauts-de-France,Client
284,2025-09-13,Instagram Ads,Tablet,3626.02,127090,4877,379,10-50,Retail,CVL,Lead
285,2025-09-20,Emailing,Desktop,2292.52,80818,2572,226,10-50,Tech,NOR,Lead
286,2025-09-15,LinkedIn,Tablet,5425.6,52821,1257,85,10-50,Health,PAC,MQL
287,2025-09-17,Instagram Ads,Desktop,3153.97,121737,4746,409,50-100,Retail,PAC,SQL
288,2025-09-09,LinkedIn,Mobile,6807.41,73952,1809,120,100-500,Energy,PAC,SQL
289,2025-09-18,Facebook Ads,Tablet,6142.42,175758,4881,424,1-10,Health,OCC,MQL
290,2025-09-28,Emailing,Mobile,2353.42,79194,2848,248,1-10,Health,CVL,MQL
291,2025-09-01,Emailing,Mobile,2193.89,73029,2434,218,10-50,Finance,IdF,Lead
292,2025-09-22,Instagram Ads,Desktop,3774.58,128946,5177,414,1-10,Tech,IdF,MQL
293,2025-09-24,Instagram Ads,Desktop,3281.01,114397,4390,351,1-10,Energy,IdF,Client
294,2025-09-04,LinkedIn,Tablet,6239.3,64902,1634,101,100-500,Health,Hauts-de-France,Lead
295,2025-09-22,Facebook Ads,Mobile,5253.29,158934,4559,390,1-10,Logistics,IdF,MQL
296,2025-09-29,Facebook Ads,Desktop,4946.54,154976,4183,360,100-500,Finance,BFC,Lead
297,2025-09-18,LinkedIn,Desktop,5111.0,48459,1196,87,50-100,Education,IdF,MQL
298,2025-09-25,Instagram Ads,Mobile,3352.69,111790,4495,363,50-100,Tech,PAC,MQL
299,2025-09-09,Instagram Ads,Mobile,4345.78,157172,6465,526,1-10,Health,BFC,MQL
300,2025-09-25,LinkedIn,Mobile,6185.38,62374,1525,107,1-10,Education,Hauts-de-France,Client
301,2025-09-21,LinkedIn,Mobile,4666.97,47645,1205,90,10-50,Education,IdF,MQL
302,2025-09-11,Emailing,Tablet,2675.57,84413,2889,249,1-10,Education,IdF,MQL
303,2025-09-04,Emailing,Desktop,2177.3,65301,2178,175,1-10,Retail,IdF,Lead
304,2025-09-10,Instagram Ads,Desktop,3685.55,145191,6033,497,1-10,Logistics,HDF,SQL
305,2025-09-14,LinkedIn,Tablet,5411.59,51268,1249,83,1-10,Logistics,BFC,Lead
306,2025-09-06,Emailing,Mobile,2819.64,89019,2993,262,1-10,Tech,IdF,SQL
307,2025-09-15,Emailing,Desktop,2407.55,87870,2860,230,50-100,Energy,PAC,Lead
308,2025-09-01,LinkedIn,Mobile,5922.39,64292,1661,113,1-10,Retail,Hauts-de-France,Lead
309,2025-09-24,Emailing,Desktop,2777.7,92732,3036,273,1-10,Health,ARA,Lead
310,2025-09-29,Emailing,Mobile,1951.16,56475,1895,172,10-50,Retail,ARA,Client
311,2025-09-24,Facebook Ads,Tablet,5508.39,165274,4548,410,100-500,Logistics,PAC,MQL
312,2025-09-09,LinkedIn,Mobile,6807.41,73952,1809,120,1-10,Tech,Hauts-de-France,Lead
313,2025-09-17,LinkedIn,Mobile,6111.02,61870,1454,94,1-10,Finance,IdF,Lead
314,2025-09-25,Emailing,Desktop,2624.14,81583,2561,220,10-50,Finance,CVL,MQL
315,2025-09-06,LinkedIn,Mobile,5454.07,53164,1315,93,100-500,Retail,NOR,Lead
316,2025-09-17,Emailing,Desktop,2929.4,94268,3174,245,50-100,Health,OCC,MQL
317,2025-09-30,Facebook Ads,Mobile,5042.46,155635,4399,353,10-50,Tech,IdF,Lead
318,2025-09-04,LinkedIn,Desktop,6239.3,64902,1634,101,1-10,Education,CVL,MQL
319,2025-09-28,LinkedIn,Mobile,5903.52,60798,1575,110,10-50,Logistics,CVL,Lead
320,2025-09-21,Instagram Ads,Mobile,3377.27,126123,4874,382,1-10,Media,OCC,MQL
321,2025-09-10,LinkedIn,Mobile,5428.44,51038,1318,98,50-100,Media,Hauts-de-France,MQL
322,2025-09-27,LinkedIn,Mobile,6614.93,62760,1529,99,50-100,Retail,CVL,Lead
323,2025-09-21,Emailing,Mobile,2801.35,91605,3016,248,100-500,Retail,IdF,MQL
324,2025-09-17,Facebook Ads,Mobile,4982.07,134435,3813,315,1-10,Finance,BFC,MQL
325,2025-09-20,Emailing,Mobile,2292.52,80818,2572,226,1-10,Tech,Hauts-de-France,Lead
326,2025-09-07,Emailing,Mobile,2949.19,102515,3463,294,10-50,Logistics,CVL,SQL
327,2025-09-05,Instagram Ads,Desktop,4731.53,166863,6757,548,50-100,Tech,NOR,MQL
328,2025-09-12,Facebook Ads,Desktop,5458.32,148794,4155,345,50-100,Energy,Hauts-de-France,SQL
329,2025-09-25,Instagram Ads,Mobile,3352.69,111790,4495,363,1-10,Tech,ARA,Lead
330,2025-09-06,LinkedIn,Desktop,5454.07,53164,1315,93,1-10,Media,IdF,Lead
331,2025-09-18,LinkedIn,Desktop,5111.0,48459,1196,87,10-50,Tech,PAC,Lead
332,2025-09-25,Facebook Ads,Mobile,5675.56,163585,4566,391,1-10,Tech,Hauts-de-France,MQL
333,2025-09-30,LinkedIn,Desktop,5212.27,56209,1332,91,100-500,Education,IdF,MQL
334,2025-09-17,Facebook Ads,Mobile,4982.07,134435,3813,315,10-50,Retail,NOR,MQL
335,2025-09-30,Emailing,Mobile,2709.73,96206,3297,272,50-100,Education,IdF,SQL
336,2025-09-01,LinkedIn,Mobile,5922.39,64292,1661,113,10-50,Finance,BFC,Lead
337,2025-09-20,Emailing,Desktop,2292.52,80818,2572,226,50-100,Tech,NOR,Client
338,2025-09-11,Emailing,Desktop,2675.57,84413,2889,249,1-10,Energy,OCC,Lead
339,2025-09-16,LinkedIn,Mobile,6612.62,66648,1628,124,50-100,Finance,HDF,SQL
340,2025-09-01,Emailing,Mobile,2193.89,73029,2434,218,1-10,Education,IdF,MQL
341,2025-09-04,Instagram Ads,Tablet,4473.3,155125,6156,492,10-50,Finance,HDF,Client
342,2025-09-30,Instagram Ads,Mobile,4215.73,151630,5761,465,1-10,Health,Hauts-de-France,Lead
343,2025-09-12,Instagram Ads,Mobile,3485.05,118943,4907,411,10-50,Retail,OCC,MQL
344,2025-09-29,Facebook Ads,Tablet,4946.54,154976,4183,360,1-10,Tech,CVL,MQL
345,2025-09-27,Emailing,Desktop,2412.97,82002,2855,252,1-10,Finance,HDF,Client
346,2025-09-26,Instagram Ads,Desktop,3539.37,135949,5408,444,100-500,Finance,IdF,Client
347,2025-09-10,Facebook Ads,Desktop,6549.1,171421,4998,402,1-10,Retail,ARA,Lead
348,2025-09-08,Instagram Ads,Desktop,3880.22,147747,5814,456,50-100,Health,HDF,SQL
349,2025-09-02,Instagram Ads,Mobile,3812.57,132624,5213,414,100-500,Health,NOR,MQL
350,2025-09-08,Instagram Ads,Mobile,3880.22,147747,5814,456,1-10,Tech,IdF,Lead
351,2025-09-29,Emailing,Mobile,1951.16,56475,1895,172,50-100,Retail,OCC,Lead
352,2025-09-19,Facebook Ads,Tablet,4000.7,130129,3520,301,1-10,Finance,IdF,Client
353,2025-09-03,Instagram Ads,Desktop,3652.15,130513,5036,396,1-10,Tech,BFC,MQL
354,2025-09-03,Facebook Ads,Mobile,4691.4,137291,3957,301,10-50,Retail,CVL,Lead
355,2025-09-24,Emailing,Desktop,2777.7,92732,3036,273,100-500,Tech,IdF,Lead
356,2025-09-16,LinkedIn,Mobile,6612.62,66648,1628,124,1-10,Logistics,IdF,Lead
357,2025-09-27,Instagram Ads,Mobile,3717.05,133510,5187,466,10-50,Education,HDF,MQL
358,2025-09-03,LinkedIn,Mobile,7147.05,73930,1844,132,10-50,Tech,PAC,MQL
359,2025-09-25,LinkedIn,Mobile,6185.38,62374,1525,107,100-500,Tech,IdF,MQL
360,2025-09-18,Emailing,Desktop,2479.5099999999998,89774,3044,271,1-10,Education,CVL,Lead
361,2025-09-25,LinkedIn,Mobile,6185.38,62374,1525,107,50-100,Finance,HDF,MQL
362,2025-09-05,Instagram Ads,Desktop,4731.53,166863,6757,548,50-100,Education,ARA,Lead
363,2025-09-05,Emailing,Desktop,2522.64,84670,2815,237,50-100,Energy,IdF,Client
364,2025-09-22,Facebook Ads,Mobile,5253.29,158934,4559,390,100-500,Health,IdF,Lead
365,2025-09-16,Instagram Ads,Tablet,3231.25,113391,4395,362,50-100,Tech,CVL,SQL
366,2025-09-18,LinkedIn,Mobile,5111.0,48459,1196,87,1-10,Education,ARA,MQL
367,2025-09-06,LinkedIn,Mobile,5454.07,53164,1315,93,10-50,Logistics,BFC,MQL
368,2025-09-09,LinkedIn,Mobile,6807.41,73952,1809,120,10-50,Health,HDF,Lead
369,2025-09-17,Facebook Ads,Desktop,4982.07,134435,3813,315,1-10,Health,PAC,SQL
370,2025-09-28,Emailing,Mobile,2353.42,79194,2848,248,10-50,Retail,IdF,SQL
371,2025-09-20,Instagram Ads,Mobile,3659.59,124507,4816,384,10-50,Retail,OCC,Lead
372,2025-09-14,Instagram Ads,Mobile,2938.88,101513,3837,327,10-50,Education,ARA,Lead
373,2025-09-07,Instagram Ads,Mobile,3812.7599999999998,149614,5963,454,100-500,Energy,BFC,SQL
374,2025-09-30,Instagram Ads,Desktop,4215.73,151630,5761,465,1-10,Health,OCC,Lead
375,2025-09-18,Facebook Ads,Mobile,6142.42,175758,4881,424,100-500,Education,OCC,SQL
376,2025-09-25,Facebook Ads,Mobile,5675.56,163585,4566,391,10-50,Tech,ARA,Lead
377,2025-09-24,LinkedIn,Mobile,6300.46,58061,1417,97,10-50,Tech,Hauts-de-France,SQL
